"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"19/01/2021";"1200";"21,4";"66,0";"904,2";"5,1";"140,0";"6,3";"";"";"16,3";"0,0"
"19/01/2021";"1800";"28,2";"42,0";"901,1";"4,1";"140,0";"3,8";"";"";"";""
"20/01/2021";"0000";"21,6";"57,0";"903,3";"3,1";"140,0";"0,0";"8,50";"28,2";"";""
"20/01/2021";"1200";"21,4";"72,0";"904,3";"4,1";"140,0";"7,5";"";"";"17,7";"0,0"
"20/01/2021";"1800";"27,7";"45,0";"900,6";"4,1";"90,0";"3,8";"";"";"";""
"21/01/2021";"0000";"21,5";"75,0";"902,7";"5,1";"140,0";"0,0";"7,00";"27,8";"";""
"21/01/2021";"1200";"20,7";"76,0";"904,9";"4,1";"140,0";"8,8";"";"";"18,1";"0,0"
"21/01/2021";"1800";"27,5";"45,0";"902,4";"5,1";"140,0";"5,0";"";"";"";""
"22/01/2021";"0000";"21,5";"72,0";"904,5";"5,1";"140,0";"3,8";"5,90";"26,8";"";""
"22/01/2021";"1200";"21,1";"74,0";"906,3";"4,1";"140,0";"10,0";"";"";"17,0";"0,0"
"22/01/2021";"1800";"25,9";"55,0";"903,8";"3,1";"140,0";"7,5";"";"";"";""
"23/01/2021";"0000";"21,0";"72,0";"905,4";"6,2";"140,0";"7,5";"4,80";"26,4";"";""
"23/01/2021";"1200";"19,2";"89,0";"905,9";"5,1";"140,0";"8,8";"";"";"17,3";"1,0"
"23/01/2021";"1800";"25,8";"53,0";"903,4";"5,1";"140,0";"7,5";"";"";"";""
"24/01/2021";"0000";"20,8";"69,0";"904,4";"3,1";"140,0";"7,5";"1,40";"22,2";"";""
"24/01/2021";"1200";"20,9";"74,0";"904,4";"5,1";"140,0";"8,8";"";"";"18,3";"0,0"
"24/01/2021";"1800";"21,5";"79,0";"903,1";"2,6";"140,0";"10,0";"";"";"";""
"25/01/2021";"0000";"19,6";"88,0";"903,3";"3,1";"140,0";"10,0";"4,00";"26,6";"";""
"25/01/2021";"1200";"18,9";"95,0";"903,7";"4,1";"140,0";"8,8";"";"";"17,7";"2,3"
"25/01/2021";"1800";"26,1";"57,0";"901,8";"5,1";"140,0";"7,5";"";"";"";""
"26/01/2021";"0000";"21,0";"81,0";"902,0";"4,1";"140,0";"5,0";"0,90";"24,8";"";""
"26/01/2021";"1200";"20,4";"83,0";"904,0";"4,1";"140,0";"8,8";"";"";"17,5";"0,4"
"26/01/2021";"1800";"24,4";"61,0";"902,0";"4,1";"140,0";"8,8";"";"";"";""
"27/01/2021";"0000";"20,2";"82,0";"903,2";"4,1";"140,0";"8,8";"7,60";"28,6";"";""
"27/01/2021";"1200";"";"78,0";"904,5";"3,1";"140,0";"8,8";"";"";"26,9";"0,0"
"27/01/2021";"1800";"28,0";"40,0";"901,0";"3,1";"140,0";"7,5";"";"";"";""
"28/01/2021";"0000";"";"65,0";"902,5";"3,1";"140,0";"2,5";"7,00";"28,4";"";""
"28/01/2021";"1200";"20,4";"78,0";"904,0";"4,1";"140,0";"8,8";"";"";"18,2";"0,0"
"28/01/2021";"1800";"28,0";"46,0";"901,0";"4,1";"140,0";"7,5";"";"";"";""
"29/01/2021";"0000";"22,2";"67,0";"901,6";"2,1";"140,0";"6,3";"8,90";"29,0";"";""
"29/01/2021";"1200";"21,3";"75,0";"904,6";"4,1";"140,0";"8,8";"";"";"17,3";"0,0"
"29/01/2021";"1800";"28,5";"41,0";"901,1";"4,1";"140,0";"5,0";"";"";"";""
"30/01/2021";"0000";"22,4";"63,0";"902,4";"2,1";"140,0";"0,0";"9,40";"30,0";"";""
"30/01/2021";"1200";"22,1";"69,0";"905,1";"3,1";"140,0";"7,5";"";"";"18,1";"0,0"
"30/01/2021";"1800";"29,4";"37,0";"902,2";"4,1";"140,0";"6,3";"";"";"";""
"31/01/2021";"0000";"22,3";"76,0";"903,7";"6,2";"140,0";"3,8";"7,70";"29,9";"";""
"31/01/2021";"1200";"21,4";"79,0";"904,9";"4,1";"140,0";"8,8";"";"";"19,0";"0,0"
"31/01/2021";"1800";"28,5";"41,0";"901,1";"4,1";"140,0";"5,0";"";"";"";""
"01/02/2021";"0000";"21,2";"83,0";"902,5";"3,1";"140,0";"7,5";"";"";"";""
"01/02/2021";"1200";"21,6";"80,0";"903,8";"3,1";"140,0";"10,0";"";"";"19,1";"0,0"
"01/02/2021";"1800";"28,4";"48,0";"901,3";"3,1";"140,0";"7,5";"";"";"";""
"02/02/2021";"0000";"";"";"";"";"";"";"";"";"";""
"02/02/2021";"1200";"21,4";"76,0";"904,4";"3,1";"90,0";"7,5";"";"";"18,7";"0,0"
"02/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"03/02/2021";"0000";"";"";"";"";"";"";"7,50";"28,4";"";""
"03/02/2021";"1200";"21,2";"82,0";"905,0";"3,1";"140,0";"10,0";"";"";"19,3";"0,0"
"03/02/2021";"1800";"27,8";"51,0";"902,2";"3,1";"140,0";"6,3";"";"";"";""
"04/02/2021";"0000";"22,8";"70,0";"903,8";"2,1";"140,0";"3,8";"7,50";"29,6";"";""
"04/02/2021";"1200";"21,8";"80,0";"905,2";"3,1";"140,0";"7,5";"";"";"19,1";"0,0"
"04/02/2021";"1800";"";"45,0";"981,0";"2,1";"140,0";"6,3";"";"";"";""
"05/02/2021";"0000";"21,6";"72,0";"903,2";"2,1";"140,0";"6,3";"7,60";"31,6";"";""
"05/02/2021";"1200";"20,4";"84,0";"903,5";"2,1";"140,0";"10,0";"";"";"19,5";"0,0"
"05/02/2021";"1800";"31,4";"38,0";"899,3";"2,1";"140,0";"5,0";"";"";"";""
"06/02/2021";"0000";"25,4";"61,0";"900,7";"0,0";"0,0";"5,0";"5,80";"30,6";"";""
"06/02/2021";"1200";"23,4";"82,0";"902,8";"2,1";"140,0";"7,5";"";"";"20,5";"0,0"
"06/02/2021";"1800";"30,2";"44,0";"899,5";"3,1";"50,0";"7,5";"";"";"";""
"07/02/2021";"0000";"";"90,0";"902,3";"3,1";"320,0";"10,0";"2,20";"27,4";"";""
"07/02/2021";"1200";"21,0";"95,0";"903,5";"2,1";"140,0";"10,0";"";"";"19,1";"19,0"
"07/02/2021";"1800";"27,2";"58,0";"899,9";"2,1";"360,0";"7,5";"";"";"";""
"08/02/2021";"0000";"20,6";"88,0";"902,1";"3,1";"230,0";"10,0";"0,00";"27,4";"";""
"08/02/2021";"1200";"19,2";"93,0";"903,0";"3,1";"140,0";"10,0";"";"";"18,5";"29,0"
"08/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"09/02/2021";"0000";"19,0";"95,0";"903,1";"2,1";"140,0";"10,0";"0,60";"23,4";"";""
"09/02/2021";"1200";"19,0";"91,0";"903,9";"3,1";"140,0";"10,0";"";"";"18,1";"3,4"
"09/02/2021";"1800";"23,2";"71,0";"901,0";"2,1";"90,0";"8,8";"";"";"";""
"10/02/2021";"0000";"21,2";"84,0";"902,6";"2,1";"140,0";"6,3";"9,60";"27,6";"";""
"10/02/2021";"1200";"20,8";"74,0";"904,2";"3,1";"140,0";"7,5";"";"";"17,7";"0,0"
"10/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"11/02/2021";"0000";"22,4";"71,0";"902,8";"0,0";"0,0";"0,0";"6,80";"26,6";"";""
"11/02/2021";"1200";"20,2";"81,0";"904,2";"5,1";"140,0";"8,8";"";"";"17,9";"0,0"
"11/02/2021";"1800";"26,4";"58,0";"902,9";"3,1";"140,0";"6,3";"";"";"";""
"12/02/2021";"0000";"21,4";"71,0";"904,2";"5,1";"140,0";"6,3";"10,90";"28,2";"";""
"12/02/2021";"1200";"21,0";"68,0";"904,3";"5,1";"140,0";"6,3";"";"";"16,5";"0,0"
"12/02/2021";"1800";"27,8";"45,0";"901,6";"3,1";"140,0";"3,8";"";"";"";""
"13/02/2021";"0000";"21,8";"67,0";"901,0";"0,0";"0,0";"0,0";"8,30";"27,8";"";""
"13/02/2021";"1200";"20,4";"84,0";"903,7";"5,1";"140,0";"8,8";"";"";"17,7";"0,0"
"13/02/2021";"1800";"27,6";"46,0";"900,7";"3,1";"140,0";"3,8";"";"";"";""
"14/02/2021";"0000";"22,6";"69,0";"901,8";"3,1";"140,0";"3,8";"9,50";"29,8";"";""
"14/02/2021";"1200";"20,8";"72,0";"903,5";"5,1";"140,0";"6,3";"";"";"17,9";"0,0"
"14/02/2021";"1800";"29,8";"42,0";"899,7";"2,1";"140,0";"3,8";"";"";"";""
"15/02/2021";"0000";"23,8";"53,0";"900,5";"2,1";"140,0";"2,5";"9,00";"30,4";"";""
"15/02/2021";"1200";"20,8";"72,0";"902,7";"3,1";"140,0";"6,3";"";"";"17,3";"0,0"
"15/02/2021";"1800";"30,2";"39,0";"899,3";"3,1";"140,0";"5,0";"";"";"";""
"16/02/2021";"0000";"25,2";"62,0";"899,9";"0,0";"0,0";"5,0";"1,30";"27,0";"";""
"16/02/2021";"1200";"21,6";"82,0";"902,5";"2,1";"140,0";"10,0";"";"";"20,1";"0,0"
"16/02/2021";"1800";"26,6";"61,0";"899,8";"3,1";"140,0";"7,5";"";"";"";""
"17/02/2021";"0000";"20,6";"88,0";"902,5";"3,1";"230,0";"10,0";"6,00";"27,8";"";""
"17/02/2021";"1200";"22,2";"76,0";"902,2";"3,1";"360,0";"8,8";"";"";"19,5";"0,0"
